                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.59202,                0.59283,                 1.2308,                 0.9763,                      1,                0.98883,                0.84141,                0.65367,                0.64717,                 1.3443,              0.0012269,              0.0012269,              0.0012269
                     83,                 0.7107,                0.63799,                 1.2304,                0.97971,                      1,                 0.9825,                0.86448,                0.55425,                0.63433,                 1.1934,              0.0012214,              0.0012214,              0.0012214
                     84,                0.69043,                0.57283,                 1.2291,                0.97971,                      1,                 0.9825,                0.86448,                0.55425,                0.63433,                 1.1934,              0.0012159,              0.0012159,              0.0012159
                     85,                0.66367,                0.57553,                 1.1799,                0.96096,                0.98276,                0.97835,                0.87983,                0.51041,                  0.623,                 1.1441,              0.0012104,              0.0012104,              0.0012104
                     86,                 0.7668,                0.64144,                 1.3074,                0.96096,                0.98276,                0.97835,                0.87983,                0.51041,                  0.623,                 1.1441,              0.0012049,              0.0012049,              0.0012049
                     87,                 0.7485,                0.69615,                 1.2994,                0.95826,                      1,                0.97852,                 0.8808,                0.53066,                0.54399,                 1.1883,              0.0011994,              0.0011994,              0.0011994
                     88,                0.67773,                0.60175,                 1.2452,                0.95826,                      1,                0.97852,                 0.8808,                0.53066,                0.54399,                 1.1883,              0.0011939,              0.0011939,              0.0011939
                     89,                0.62105,                0.57132,                 1.1648,                0.97968,                      1,                0.98067,                0.82823,                0.65459,                0.52946,                 1.3249,              0.0011884,              0.0011884,              0.0011884
                     90,                0.74627,                0.66436,                 1.2078,                0.97968,                      1,                0.98067,                0.82823,                0.65459,                0.52946,                 1.3249,              0.0011829,              0.0011829,              0.0011829
                     91,                0.77886,                0.70064,                 1.2808,                0.98154,                      1,                  0.979,                0.80511,                0.63973,                0.55114,                 1.2943,              0.0011774,              0.0011774,              0.0011774
                     92,                0.69446,                0.62842,                 1.2329,                0.98154,                      1,                  0.979,                0.80511,                0.63973,                0.55114,                 1.2943,              0.0011719,              0.0011719,              0.0011719
                     93,                0.70098,                0.57702,                 1.2027,                0.98118,                      1,                  0.979,                0.84805,                0.48955,                0.62243,                 1.1341,              0.0011664,              0.0011664,              0.0011664
                     94,                0.67959,                0.58928,                  1.264,                0.98118,                      1,                  0.979,                0.84805,                0.48955,                0.62243,                 1.1341,              0.0011609,              0.0011609,              0.0011609
                     95,                0.57742,                0.51318,                 1.1199,                 0.9811,                      1,                0.98017,                0.89686,                0.43865,                0.56523,                 1.1375,              0.0011554,              0.0011554,              0.0011554
                     96,                0.68192,                0.60867,                 1.2325,                 0.9811,                      1,                0.98017,                0.89686,                0.43865,                0.56523,                 1.1375,              0.0011499,              0.0011499,              0.0011499
                     97,                 0.6028,                0.53056,                 1.1391,                0.98108,                      1,                0.98133,                0.90824,                0.42563,                 0.4917,                 1.1081,              0.0011444,              0.0011444,              0.0011444
                     98,                0.62498,                 0.5497,                  1.204,                0.98108,                      1,                0.98133,                0.90824,                0.42563,                 0.4917,                 1.1081,              0.0011389,              0.0011389,              0.0011389
                     99,                0.66754,                0.59634,                 1.2012,                0.97947,                      1,                 0.9825,                0.90407,                0.44485,                0.47867,                  1.085,              0.0011334,              0.0011334,              0.0011334
                    100,                0.59067,                0.53132,                 1.1766,                0.97947,                      1,                 0.9825,                0.90407,                0.44485,                0.47867,                  1.085,              0.0011279,              0.0011279,              0.0011279
                    101,                  0.619,                0.50044,                 1.2268,                0.97973,                      1,                  0.987,                0.89893,                0.48697,                0.51064,                 1.1246,              0.0011224,              0.0011224,              0.0011224
                    102,                0.63156,                0.54582,                 1.2079,                0.97973,                      1,                  0.987,                0.89893,                0.48697,                0.51064,                 1.1246,              0.0011169,              0.0011169,              0.0011169
                    103,                0.62376,                0.56152,                 1.2069,                0.98091,                      1,                 0.9945,                0.89644,                0.44331,                0.45264,                 1.0724,              0.0011114,              0.0011114,              0.0011114
                    104,                0.60703,                0.54697,                 1.1833,                0.98091,                      1,                 0.9945,                0.89644,                0.44331,                0.45264,                 1.0724,              0.0011059,              0.0011059,              0.0011059
                    105,                 0.6407,                 0.5728,                 1.2257,                0.98112,                      1,                 0.9945,                 0.9141,                0.45181,                0.48614,                  1.043,              0.0011004,              0.0011004,              0.0011004
                    106,                0.67305,                0.60772,                 1.2402,                0.98112,                      1,                 0.9945,                 0.9141,                0.45181,                0.48614,                  1.043,              0.0010949,              0.0010949,              0.0010949
                    107,                0.61889,                  0.576,                 1.1848,                0.98058,                      1,                  0.994,                 0.9179,                0.45777,                  0.468,                 1.0445,              0.0010894,              0.0010894,              0.0010894
                    108,                0.65384,                0.54678,                 1.2229,                0.98058,                      1,                  0.994,                 0.9179,                0.45777,                  0.468,                 1.0445,              0.0010839,              0.0010839,              0.0010839
                    109,                0.55198,                0.47251,                 1.1038,                0.97952,                      1,                 0.9945,                0.90617,                0.44939,                0.44184,                 1.0433,              0.0010784,              0.0010784,              0.0010784
                    110,                0.59667,                0.48131,                  1.105,                0.97952,                      1,                 0.9945,                0.90617,                0.44939,                0.44184,                 1.0433,              0.0010729,              0.0010729,              0.0010729
                    111,                0.67139,                 0.5425,                 1.1826,                0.97935,                      1,                  0.994,                0.88855,                0.47649,                0.45377,                  1.073,              0.0010674,              0.0010674,              0.0010674
                    112,                0.58786,                0.56224,                 1.1581,                0.97935,                      1,                  0.994,                0.88855,                0.47649,                0.45377,                  1.073,              0.0010619,              0.0010619,              0.0010619
                    113,                0.57349,                0.51732,                 1.1319,                0.97686,                      1,                0.99167,                0.88414,                0.49834,                0.46995,                 1.1169,              0.0010564,              0.0010564,              0.0010564
                    114,                0.66209,                0.58765,                 1.2348,                0.97686,                      1,                0.99167,                0.88414,                0.49834,                0.46995,                 1.1169,              0.0010509,              0.0010509,              0.0010509
                    115,                0.60358,                0.57359,                  1.171,                0.97845,                      1,                  0.991,                0.88494,                0.46283,                 0.4651,                 1.1127,              0.0010454,              0.0010454,              0.0010454
                    116,                0.64115,                0.52828,                 1.1765,                0.97845,                      1,                  0.991,                0.88494,                0.46283,                 0.4651,                 1.1127,              0.0010399,              0.0010399,              0.0010399
                    117,                0.72441,                0.62384,                 1.2612,                0.97978,                      1,                0.98983,                0.87436,                0.46209,                 0.5098,                 1.1106,              0.0010344,              0.0010344,              0.0010344
                    118,                0.75934,                0.58049,                 1.3118,                0.97978,                      1,                0.98983,                0.87436,                0.46209,                 0.5098,                 1.1106,              0.0010289,              0.0010289,              0.0010289
                    119,                0.75925,                0.57213,                 1.3217,                 0.9768,                      1,                0.98767,                0.87938,                0.46636,                0.50378,                 1.1069,              0.0010234,              0.0010234,              0.0010234
                    120,                0.69018,                0.60282,                 1.2475,                 0.9768,                      1,                0.98767,                0.87938,                0.46636,                0.50378,                 1.1069,              0.0010179,              0.0010179,              0.0010179
                    121,                0.61586,                0.50925,                 1.1776,                0.97905,                      1,                 0.9865,                0.90483,                0.42085,                0.49857,                 1.0511,              0.0010124,              0.0010124,              0.0010124
                    122,                0.58691,                0.54417,                  1.184,                0.97905,                      1,                 0.9865,                0.90483,                0.42085,                0.49857,                 1.0511,              0.0010069,              0.0010069,              0.0010069
                    123,                0.59578,                0.53357,                 1.1501,                0.98077,                      1,                0.98817,                0.89419,                0.45666,                0.47948,                 1.1028,              0.0010014,              0.0010014,              0.0010014
                    124,                0.69251,                0.60368,                   1.22,                0.98077,                      1,                0.98817,                0.89419,                0.45666,                0.47948,                 1.1028,             0.00099587,             0.00099587,             0.00099587
                    125,                 0.6804,                0.55938,                 1.2149,                0.98025,                      1,                0.98417,                 0.9022,                0.44235,                0.43743,                 1.0739,             0.00099036,             0.00099036,             0.00099036
                    126,                0.57866,                0.52302,                 1.1471,                0.98025,                      1,                0.98417,                 0.9022,                0.44235,                0.43743,                 1.0739,             0.00098486,             0.00098486,             0.00098486
                    127,                0.66286,                 0.5502,                 1.1998,                0.97998,                      1,                  0.994,                 0.8919,                0.46292,                0.42124,                 1.0595,             0.00097936,             0.00097936,             0.00097936
                    128,                 0.5819,                0.48629,                 1.1869,                0.97998,                      1,                  0.994,                 0.8919,                0.46292,                0.42124,                 1.0595,             0.00097386,             0.00097386,             0.00097386
                    129,                0.62921,                0.50463,                 1.1931,                0.98134,                      1,                0.98983,                0.90474,                0.46464,                0.43048,                 1.0691,             0.00096836,             0.00096836,             0.00096836
                    130,                 0.5819,                0.48066,                 1.1208,                0.98134,                      1,                0.98983,                0.90474,                0.46464,                0.43048,                 1.0691,             0.00096286,             0.00096286,             0.00096286
                    131,                 0.5709,                 0.4884,                 1.1502,                0.98114,                      1,                0.99167,                0.93021,                0.41569,                0.41814,                 1.0355,             0.00095736,             0.00095736,             0.00095736
